date,description,amount,type
1/1/2025,"Purchase authorized on 1/1 OLIVE GARDEN SCHUMMSTAD NE S208963378876018 Card 6016",56.6,debit
1/2/2025,"Purchase authorized on 1/2 TARGET NORTH VINCEHAVEN OH S411257629756423 Card 7010",82.68,debit
1/3/2025,"Purchase authorized on 1/3 AIRBNB WEST CAROLINESHIRE SD S688185883124880 Card 5421",129.61,debit
1/4/2025,"Purchase authorized on 1/4 CHIPOTLE WEST GILDABORO TN S325180971087770 Card 3186",11.56,debit
1/6/2025,"Purchase authorized on 1/6 COMCAST STILLWATER AZ S038915398844208 Card 8995",96.73,debit
1/6/2025,"Purchase authorized on 1/6 AMC THEATRES DIAMOND BAR MN S196266316575855 Card 8410",43.51,debit
1/8/2025,"Purchase authorized on 1/8 WALGREENS ZBONCAKVILLE MT S876732888955767 Card 7833",14.37,debit
1/8/2025,"Purchase authorized on 1/8 STARBUCKS PORT RAEWORTH MA S373984771958383 Card 0903",7.54,debit
1/8/2025,"Purchase authorized on 1/8 VERIZON VILMABURY IA S829090859059566 Card 4659",89.92,debit
1/9/2025,"Purchase authorized on 1/9 CHIPOTLE BODETON WY S338997307549140 Card 4011",16.58,debit
1/11/2025,"Purchase authorized on 1/11 NIKE LONNYPORT IA S367770405483117 Card 6107",174.32,debit
1/14/2025,"Purchase authorized on 1/14 NETFLIX GOYETTETOWN NC S199930949982383 Card 1596",15.19,debit
1/15/2025,"Purchase authorized on 1/15 STARBUCKS MATHIASFURT ID S723768650322938 Card 6755",5.28,debit
1/22/2025,"Purchase authorized on 1/22 DUNKIN NORTH URIELWORTH SD S306414092635519 Card 7985",7.25,debit
1/23/2025,"Purchase authorized on 1/23 SHELL WEST MONTY NY S841775745401063 Card 5924",46.9,debit
1/23/2025,"Purchase authorized on 1/23 WALMART LAKE LORENA NE S083105605261639 Card 1319",92.82,debit
1/25/2025,"Purchase authorized on 1/25 CHIPOTLE SOUTH KARIBORO NJ S008315726005567 Card 9537",14.63,debit
1/25/2025,"Purchase authorized on 1/25 DUNKIN TERRE HAUTE MN S621435099653861 Card 9897",4.96,debit
1/26/2025,"Purchase authorized on 1/26 CHEVRON NEW MAYRA ME S992432065029214 Card 9267",77.44,debit
1/28/2025,"Purchase authorized on 1/28 MARRIOTT EAST ANDERSONHAVEN NM S709821135426123 Card 4715",257.69,debit
1/28/2025,"Purchase authorized on 1/28 DUNKIN KRAJCIKLAND MO S414366036586106 Card 0595",8.99,debit
1/30/2025,"Purchase authorized on 1/30 UBER KARLIESHIRE MD S991010060380821 Card 6687",33.23,debit
2/1/2025,"Purchase authorized on 2/1 SPOTIFY SOUTH ANDRES IN S231253812007963 Card 7301",10.76,debit
2/2/2025,"Purchase authorized on 2/2 CVS NATHANIALSTEAD FL S798831994000183 Card 5434",50.93,debit
2/4/2025,"Purchase authorized on 2/4 NETFLIX PREDOVICTOWN HI S079764316693956 Card 4846",15.82,debit
2/5/2025,"Purchase authorized on 2/5 COSTCO MCLAUGHLINBOROUGH IL S528730415227799 Card 3679",168.86,debit
2/5/2025,"Purchase authorized on 2/5 MARRIOTT BREITENBERGSTAD LA S506262191518889 Card 8405",198.13,debit
2/7/2025,"Purchase authorized on 2/7 NIKE BURBANK IL S016224456543753 Card 4826",167.53,debit
2/10/2025,"Purchase authorized on 2/10 AIRBNB HANFORD SD S204547260776197 Card 5744",194.8,debit
2/10/2025,"Purchase authorized on 2/10 CVS WEST RAPHAELLE OH S565570557068896 Card 3483",36.81,debit
2/10/2025,"Purchase authorized on 2/10 DELTA AIR LINES HANSENSTAD MD S394311910133263 Card 7284",497.17,debit
2/12/2025,"Purchase authorized on 2/12 NETFLIX NORTH MABEL WA S711068890381089 Card 4714",15.13,debit
2/12/2025,"Purchase authorized on 2/12 VERIZON SOUTH JORDAN ME S814486805519746 Card 1939",77.98,debit
2/13/2025,"Purchase authorized on 2/13 BEST BUY MILLERBURGH NE S345038948209606 Card 7189",121.61,debit
2/13/2025,"Purchase authorized on 2/13 UBER PFEFFERSTEAD NM S757438497500909 Card 9375",15.41,debit
2/15/2025,"Purchase authorized on 2/15 VERIZON EAST OLETAVIEW MD S771136864987800 Card 7589",91.65,debit
2/16/2025,"Purchase authorized on 2/16 CHIPOTLE SOUTH JEROME WV S526015500875352 Card 5385",14.7,debit
2/16/2025,"Purchase authorized on 2/16 TRADER JOE'S WILDERMANFURT WV S717329975829821 Card 6707",26.22,debit
2/19/2025,"Purchase authorized on 2/19 BEST BUY NORTH LISANDROSIDE LA S198928154668177 Card 3437",196.32,debit
2/19/2025,"Purchase authorized on 2/19 COMCAST NEW JAKE RI S915467357692896 Card 4274",84.42,debit
2/19/2025,"Purchase authorized on 2/19 COSTCO EAST ODAVIEW PA S550978767293989 Card 7636",145.13,debit
2/20/2025,"Purchase authorized on 2/20 WALGREENS NARCISOFIELD HI S059099418588344 Card 4495",25.97,debit
2/21/2025,"Purchase authorized on 2/21 OLIVE GARDEN FORT DAWSONHAVEN IL S333168429039778 Card 7615",48.49,debit
2/22/2025,"Venmo Payment 325852 Felicia Jerde",149.3,credit
2/23/2025,"Purchase authorized on 2/23 STARBUCKS SOUTH GATE ME S081034262643230 Card 3546",11.73,debit
2/23/2025,"Purchase authorized on 2/23 LYFT PENSACOLA OK S486570773942222 Card 6671",28.24,debit
2/23/2025,"Purchase authorized on 2/23 WALGREENS SAN RAMON OR S725159679178986 Card 2934",22.07,debit
2/26/2025,"Purchase authorized on 2/26 TARGET NEW LOGAN AL S427621736568531 Card 8035",129.49,debit
2/27/2025,"Purchase authorized on 2/27 SPOTIFY NORTH GERARDO VA S826423348256228 Card 1186",10.86,debit
3/2/2025,"Purchase authorized on 3/2 AMC THEATRES KILEYBORO TN S798326259948348 Card 5509",34.89,debit
3/2/2025,"Purchase authorized on 3/2 CHEVRON LEHI PA S227302218330958 Card 0895",58.54,debit
3/2/2025,"Purchase authorized on 3/2 MARRIOTT EAST HARTFORD NY S732489566217931 Card 8015",179.06,debit
3/3/2025,"Purchase authorized on 3/3 COSTCO AMIRATON TX S434844796844025 Card 7263",230.6,debit
3/3/2025,"Purchase authorized on 3/3 MARRIOTT KESSLERSIDE FL S094184578891176 Card 4922",207.2,debit
3/4/2025,"Purchase authorized on 3/4 WALMART ERNESTINECHESTER CO S243114972720591 Card 8327",38.5,debit
